AND,Andorra,Lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6884,2.8044,2.9261,3.0040,3.1263,3.2234,3.3175,3.3838,3.4723,3.5876,3.6509,3.6957,3.7098,3.7629,3.7645,3.7477,3.6958,3.6184,3.5203,3.4018,3.2614,3.0736,2.8595,2.6367,2.4114,2.1880,1.9468,1.7424,1.5443,1.3630,1.1973,1.0704,0.9665,0.8842,0.8317,0.7835,0.7323
AND,Andorra,Median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4710,16.4658,15.5682,14.7067,13.8557,13.1167,12.3887,11.7152,11.0837,10.4687,9.8839,9.3715,8.8609,8.4016,7.9847,7.6072,7.2191,6.8735,6.5398,6.2637,5.9638,5.6498,5.3503,5.0772,4.8226,4.5770,4.3297,4.1337,3.9225,3.7267,3.5254,3.3509,3.1954,3.0591,2.9504,2.8483,2.7564
AND,Andorra,Upper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.3322,88.6045,76.1892,65.5861,57.1067,49.9379,43.6487,38.2674,33.5673,29.3708,26.1820,23.1765,20.7909,18.6795,16.8257,15.2321,13.8402,12.8778,11.9184,11.3319,10.7591,10.3342,10.0707,9.8669,9.7594,9.6564,9.6429,9.7770,9.9343,10.1218,10.4329,10.5888,10.6343,10.6625,10.6326,10.4509,10.4038
AGO,Angola,Lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.6770,185.5609,188.4383,190.7017,193.0241,194.4193,195.4250,196.8069,197.8078,198.4542,198.8628,199.3175,199.5675,199.6622,199.5331,198.6402,196.8080,193.8621,190.2265,185.8674,180.5984,174.4457,167.5071,158.9576,149.3481,139.1511,128.0751,116.9499,105.4981,94.4794,83.7704,73.5874,64.5356,56.7453,50.7520,46.0146,42.1323,38.8148,36.0213,33.5395,31.6185,29.4129
AGO,Angola,Median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.9388,236.0795,233.4787,230.8012,228.4829,226.6265,225.4729,224.7202,223.9889,223.7152,223.5046,223.4958,223.5959,223.6510,223.3236,222.3693,220.8553,218.1766,214.6306,210.3341,205.1359,198.8996,191.9356,184.1643,175.4523,166.1903,156.7791,147.0987,137.5361,128.4997,119.9730,112.2159,104.8753,98.3058,92.9119,88.3390,84.4489,81.0795,77.9684,75.0384,72.0743,69.4213
AGO,Angola,Upper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.6561,297.5473,285.9903,278.0644,270.9558,264.9680,260.2593,256.8585,254.2946,252.1088,251.0224,250.7869,250.6956,250.7045,250.4592,249.6024,248.1965,245.9786,242.3168,238.4024,233.8782,227.9104,221.8178,214.1802,205.6624,198.0256,190.6897,184.0511,177.3556,172.2808,167.2356,162.8132,158.8550,155.2667,151.7079,148.3451,145.7592,143.5278,141.3674,139.2001,138.1651,137.3289
AIA,Anguilla,Lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6401,13.5047,13.1863,12.8055,12.3301,11.8545,11.3144,10.7258,10.1359,9.5243,8.9418,8.3767,7.8591,7.4031,6.9708,6.5738,6.1987,5.8613,5.5518,5.2835,5.0263,4.7772,4.5520,4.3002,4.0346,3.8013,3.5420,3.3105,3.0875,2.9101,2.7213,2.5595,2.4103,2.2701,2.1290,2.0293,1.9174
AIA,Anguilla,Median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8803,21.5292,20.2136,18.9977,17.8435,16.7707,15.7812,14.8350,13.9886,13.1808,12.4219,11.7478,11.1558,10.5868,10.0650,9.5744,9.1212,8.7094,8.3064,7.9236,7.5599,7.2335,6.9141,6.6152,6.3364,6.0545,5.7868,5.5473,5.3341,5.1379,4.9688,4.8017,4.6412,4.4884,4.3251,4.1788,4.0451
AIA,Anguilla,Upper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8065,34.6486,31.1669,28.2362,25.8339,23.7514,21.9757,20.4746,19.2171,18.1886,17.3533,16.5557,15.8530,15.1663,14.5486,13.9732,13.4150,12.8660,12.3521,11.8792,11.4027,10.9977,10.6282,10.2772,9.9414,9.7086,9.5184,9.4213,9.2844,9.1850,9.1047,9.0809,8.9586,8.8300,8.7152,8.6162,8.5238
ATG,Antigua and Barbuda,Lower,109.6649,109.4824,108.2743,106.0809,103.4807,100.5506,97.6118,94.6743,91.3457,87.2217,82.1999,76.2876,69.9730,63.4497,56.9475,50.7931,45.0935,40.0360,35.6974,32.0446,29.0171,26.5687,24.5871,22.8898,21.3717,20.0017,18.7278,17.5094,16.3899,15.3926,14.5253,13.7679,13.1524,12.6939,12.3139,12.0773,11.9521,11.9421,12.0073,12.1586,12.4216,12.7409,13.1319,13.5034,13.8511,14.1629,14.4176,14.5125,14.4673,14.3032,14.0206,13.6218,13.1459,12.6538,12.0939,11.5226,10.9561,10.3977,9.8452,9.3277,8.8235,8.3072,7.7808,7.2310,6.7239,6.2396,5.7932,5.3710,5.0149,4.6522,4.3124,4.0028
