DATE,CBBTCUSD
2015-01-01,228.3321052631578947
2015-02-01,234.9950000000000000
2015-03-01,270.1216129032258065
2015-04-01,236.2183333333333333
2015-05-01,237.4335483870967742
2015-06-01,238.4173333333333333
2015-07-01,280.3812903225806452
2015-08-01,251.7551612903225806
2015-09-01,234.3650000000000000
2015-10-01,266.2290322580645161
2015-11-01,349.5080000000000000
2015-12-01,424.6061290322580645
2016-01-01,410.6309677419354839
2016-02-01,403.3558620689655172
2016-03-01,414.6987096774193548
2016-04-01,436.0920000000000000
2016-05-01,463.4958064516129032
2016-06-01,644.5870000000000000
2016-07-01,663.4932258064516129
2016-08-01,580.1209677419354839
2016-09-01,606.0896666666666667
2016-10-01,642.4800000000000000
2016-11-01,725.5690000000000000
2016-12-01,825.5212903225806452
2017-01-01,914.5432258064516129
2017-02-01,1069.0385714285714286
2017-03-01,1131.9506451612903226
2017-04-01,1221.7926666666666667
2017-05-01,1903.2087096774193548
2017-06-01,2618.0226666666666667
2017-07-01,2510.7341935483870968
2017-08-01,3873.7467741935483871
2017-09-01,4108.7866666666666667
2017-10-01,5351.1158064516129032
2017-11-01,7791.3556666666666667
2017-12-01,15271.365483870968
2018-01-01,12926.833870967742
2018-02-01,9382.8378571428571429
2018-03-01,8983.7000000000000000
2018-04-01,8021.7226666666666667
2018-05-01,8421.6438709677419355
2018-06-01,6768.9986666666666667
2018-07-01,7123.0738709677419355
2018-08-01,6678.9090322580645161
2018-09-01,6585.8236666666666667
2018-10-01,6414.9764516129032258
2018-11-01,5348.1146666666666667
2018-12-01,3660.8935483870967742
2019-01-01,3659.4264516129032258
2019-02-01,3659.2325000000000000
2019-03-01,3924.2603225806451613
2019-04-01,5146.5583333333333333
2019-05-01,7286.9474193548387097
2019-06-01,9393.3553333333333333
2019-07-01,10657.848387096774
2019-08-01,10640.429677419355
2019-09-01,9795.2540000000000000
2019-10-01,8386.9848387096774194
2019-11-01,8337.2156666666666667
2019-12-01,7248.6387096774193548
2020-01-01,8369.2541935483870968
2020-02-01,9640.9062068965517241
2020-03-01,6884.6190322580645161
2020-04-01,7223.8620000000000000
2020-05-01,9256.7651612903225806
2020-06-01,9479.7740000000000000
2020-07-01,9602.2003225806451613
2020-08-01,11650.661935483871
2020-09-01,10653.842413793103
2020-10-01,11892.769354838710
2020-11-01,16678.554000000000
2020-12-01,21999.282580645161
2021-01-01,34764.030322580645
2021-02-01,46355.972142857143
2021-03-01,54887.245806451613
2021-04-01,57147.287333333333
2021-05-01,46475.561612903226
2021-06-01,35853.960333333333
2021-07-01,34426.548064516129
2021-08-01,45685.172903225806
2021-09-01,45935.895000000000
2021-10-01,57914.644516129032
2021-11-01,60722.928333333333
2021-12-01,49332.712258064516
2022-01-01,41110.410000000000
2022-02-01,40757.126785714286
2022-03-01,41955.959032258065
2022-04-01,41408.029000000000
2022-05-01,31678.829677419355
2022-06-01,24352.125333333333
2022-07-01,21522.836451612903
2022-08-01,22353.555806451613
2022-09-01,19794.120666666667
2022-10-01,19649.742258064516
2022-11-01,17585.576666666667
2022-12-01,16942.768709677419
2023-01-01,20244.936774193548
2023-02-01,23294.730357142857
